15.37	11.36	19.33	8	5.02	3.94	1.89	1.12	0.81	13.33	8.82	22.21
28.3	50.43	23.5	15.81	14.83	8.46	4.52	2.67	1.51	2.1	3.02	21.03
15.92	40.04	32.25	20.65	17.91	14.84	8.6	6.66	3.36	2.66	9.96	12.88
19.69	44.42	123.81	38.44	24.63	17.06	10.41	6.26	3.84	4.17	5.07	28.36
17.26	37.36	30.89	13.77	16.81	7.2	4.74	2.73	1.55	4.13	2.11	16.48
21.72	28.75	10.28	38.65	16.36	11.74	9.42	4.54	3.89	2.03	16.75	36.53
32.3	43.95	19.3	37.74	21.39	12.26	6.97	4.09	2.32	1.27	0.69	1.12
5.26	56.92	30.4	29.57	19.54	10.46	6.1	3.82	2.12	3.53	11.83	16.2
34.11	20.55	14.79	14.57	8.64	4.07	2.37	1.39	2	6.53	9.23	17.88
32.94	60.08	29.53	28.35	15.55	10.76	5.66	3.35	2.01	9.11	7.69	19.03
26.44	41.52	22.83	10.75	8.07	4.35	2.57	3.5	2.67	1.27	1.24	8.37
18.45	20.98	8.46	17.42	23.81	8.04	4.68	2.74	1.56	1.26	7.03	18.39
23.32	20.58	20.8	19.59	12.92	6.76	3.88	2.26	1.28	0.7	10.55	13.48
16	20.07	15.21	19.01	9.95	5.06	4.86	3.11	2.86	4.19	9.17	22.11
36.51	18.56	11.47	8.33	6.03	5.92	2.4	6.74	4.09	4.97	4.36	7.68
7.35	29.18	24.42	22.82	11.52	9.01	4.68	2.75	1.57	4.18	3.57	23.21
15.27	32.95	44.86	17.58	9.46	7.75	3.77	2.23	1.26	5.04	6.6	32.88
24.63	19.46	15.45	8.6	8.91	3.84	2.15	1.26	0.71	2.22	6.06	4.61
19.79	20.55	10.93	34.62	15.07	7.75	4.61	2.73	1.54	0.84	0.45	15.76
18.89	10.34	16.47	20.59	10.43	6.32	3.62	2.12	1.2	0.65	4.98	20.08
30.29	18.61	9.76	15.47	13.38	5.78	3.34	1.96	1.11	0.84	2.72	31.3
25.2	31.72	15.9	29.27	20.37	9.03	6.9	3.56	2.01	4.63	5.47	5.83
42.7	25.27	23.95	13.27	7.32	5.41	4.2	1.98	2.58	0.95	3.87	14.73
17.59	18.42	13.65	24.97	8.65	5.21	2.96	1.74	0.98	0.54	3.82	21.42
21.77	27.33	23.61	22.28	9.5	5.48	3.21	2.21	2.68	5.64	3.88	32.04
39.71	21.36	10.74	10.46	6.22	6.39	2.9	1.71	1.63	1.85	5.03	12.49
25.83	32.9	30.06	17.83	10.07	5.9	3.4	2.4	1.32	10.3	4.04	21.92
19.73	37.03	26.67	23.3	12.04	9.18	4.68	2.79	1.58	0.87	0.54	25.08
