16.17	24.48	8.77	24.32	7.21	3.28	1.65	0.77	0.32	9.18	40.51	19.55
10.89	20.37	19.90	7.05	4.11	5.57	1.51	0.70	10.62	12.97	19.49	21.25
26.46	14.24	5.23	5.28	5.44	6.89	2.06	0.96	3.96	13.73	22.12	31.44
56.37	35.99	60.35	29.33	11.52	11.36	4.71	2.03	2.13	25.35	37.28	63.29
205.21	92.63	23.37	21.23	11.19	4.41	2.17	1.01	4.28	11.13	19.17	24.29
48.11	51.66	12.82	12.69	4.62	3.39	1.57	0.73	4.67	1.47	15.18	30.49
31.62	9.54	34.89	21.11	7.40	11.44	3.36	5.79	1.70	27.27	43.99	26.93
96.91	22.44	64.63	18.76	7.63	3.71	1.86	1.00	1.41	1.08	0.30	9.98
52.65	67.27	35.23	22.84	11.81	5.38	2.70	1.26	4.07	2.25	37.42	59.90
23.70	10.35	27.14	22.85	6.52	3.17	1.59	1.94	2.27	10.04	11.64	19.09
46.70	19.42	28.10	10.75	4.52	2.20	1.10	0.51	1.17	10.79	18.49	39.38
60.56	29.23	16.93	6.39	3.01	1.46	5.07	3.90	1.50	7.51	4.89	29.58
15.59	8.97	19.98	7.09	6.99	1.96	0.98	0.46	5.45	1.59	16.64	90.48
26.26	16.58	28.23	19.94	7.06	3.43	1.72	0.80	0.34	12.05	25.78	54.55
25.05	31.17	10.21	10.82	4.04	1.98	1.02	3.58	4.33	4.67	42.36	189.65
23.46	11.72	15.06	4.88	2.16	1.05	8.51	3.97	3.48	2.34	14.38	12.66
22.94	25.35	37.69	16.83	7.25	3.52	1.77	0.82	3.04	12.62	29.69	43.97
80.55	137.38	12.70	4.93	5.24	1.75	0.88	0.70	0.89	13.27	34.29	42.49
29.20	20.96	7.80	9.50	6.16	2.03	1.02	0.47	0.80	1.51	11.04	26.06
40.27	13.20	68.60	28.13	8.70	9.22	3.93	1.83	0.76	0.50	21.64	24.26
9.71	30.31	27.13	14.37	6.48	3.08	1.55	0.72	0.30	3.78	42.71	33.02
23.46	12.62	13.81	7.73	5.48	2.23	1.12	0.52	0.22	16.45	14.07	27.63
24.39	14.62	39.72	44.05	17.05	8.66	4.15	1.93	1.45	8.82	7.46	34.68
22.44	36.81	11.94	5.16	2.92	1.25	0.63	0.29	0.12	8.41	27.47	23.17
12.05	8.35	23.30	16.56	4.93	2.40	1.20	0.56	0.32	4.28	31.02	83.74
26.49	26.31	38.91	10.34	4.74	2.30	1.15	0.54	2.97	0.77	46.93	45.91
19.47	9.35	22.48	5.65	3.08	2.27	0.87	0.41	0.17	13.05	19.95	28.37
19.97	19.90	9.88	3.89	1.79	0.87	0.44	0.20	5.31	1.76	21.64	38.91
