20.54	32.69	12.99	35.73	12.24	8.34	6.36	4.69	3.30	15.16	57.04	26.43
17.81	33.39	31.81	13.65	10.96	12.82	6.73	4.96	18.53	19.52	28.97	30.21
39.63	20.95	12.36	13.19	12.41	13.72	6.49	4.78	8.38	21.68	32.30	45.31
58.72	55.80	58.23	50.76	27.45	26.70	17.02	11.89	10.20	40.99	55.42	66.67
359.42	192.23	44.03	40.75	27.50	17.33	13.09	9.65	12.40	19.98	29.82	37.84
58.78	65.54	23.74	25.92	14.93	12.73	8.76	6.45	10.89	4.77	23.90	56.76
51.04	19.33	58.29	32.02	20.05	24.48	12.43	15.16	7.74	43.14	62.82	39.12
85.15	34.08	61.71	41.76	23.74	17.43	13.27	13.34	7.76	6.66	4.28	21.28
56.28	69.93	46.26	39.19	20.29	15.19	11.56	8.52	7.87	7.82	35.20	56.76
36.24	21.70	26.44	30.00	12.66	9.52	7.25	6.04	8.42	18.88	15.20	23.75
64.99	25.26	38.54	17.25	12.55	9.52	7.25	5.34	7.10	23.07	19.06	52.37
45.54	39.58	25.88	22.77	12.61	11.50	13.70	14.73	6.82	13.07	21.11	47.99
19.10	13.08	31.71	25.88	21.65	10.27	7.82	5.76	10.36	5.20	30.06	87.80
38.45	30.02	47.38	35.60	17.59	13.24	10.07	7.42	5.23	21.12	37.17	65.74
35.93	48.51	21.02	23.49	12.38	9.35	7.21	9.49	9.84	9.27	51.22	172.27
48.42	28.77	32.64	16.47	11.86	8.93	17.75	10.23	8.46	6.32	9.71	13.88
21.63	23.53	40.08	21.66	16.18	9.66	7.35	5.41	6.59	5.63	26.56	33.76
53.11	82.16	30.82	30.31	21.43	13.75	10.47	8.54	5.74	14.75	50.61	36.33
19.87	23.36	11.90	16.34	10.90	6.47	4.93	3.64	5.71	4.41	16.03	32.79
45.90	26.67	68.64	32.48	18.01	17.50	11.44	8.43	5.94	8.24	40.80	37.72
17.39	35.44	23.06	16.15	12.20	8.08	6.15	4.53	3.19	4.73	50.20	31.07
17.97	10.51	36.66	23.22	12.57	8.69	6.62	4.89	3.45	20.20	26.66	27.95
38.17	23.00	60.20	43.11	25.01	16.63	12.53	9.23	11.56	12.22	16.61	29.10
26.77	33.28	26.24	12.77	12.56	7.60	5.78	4.27	3.01	14.39	37.02	43.88
26.62	27.46	39.82	20.30	12.41	9.36	7.13	5.25	4.64	12.40	34.09	63.05
33.84	36.34	52.61	20.77	15.34	11.54	8.79	7.30	6.86	6.11	44.09	47.81
18.78	16.98	28.40	11.21	11.54	6.99	5.33	3.94	2.97	11.25	30.75	28.87
35.26	54.84	27.90	17.36	12.90	9.27	7.06	5.21	6.23	3.27	32.48	55.08
