'PC   1'
  ,0000      3,0000E-02  9,0000E-02   1,270       1,160       1,000      2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      6,0000E-02   1,240       2,970       1,080       ,6300      5,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000      3,0000E-02   ,6500       2,950       ,6900       1,090      3,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000      8,0000E-02  3,0000E-02  3,0000E-02  6,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
 1,0000E-02  4,0000E-02  2,0000E-02   2,440       2,200      5,0000E-02  2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
'PC   3'
 1,0000E-02  9,0000E-02   ,4200       1,340      4,0000E-02  2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
 1,0000E-02  3,0000E-02   1,750       2,800      6,0000E-02  3,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
 2,0000E-02  7,0000E-02   ,1400       4,540       ,1400      5,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,1000       2,320       ,9800       1,160      5,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      4,0000E-02   ,0000       ,0000       ,0000      2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000      3,0000E-02  3,0000E-02  5,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,1900       3,720       4,040      6,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000      2,0000E-02
  ,0000       ,0000      2,0000E-02   ,2300       ,2900      7,0000E-02  5,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000    
 1,0000E-02   ,0000      8,0000E-02   ,1500       ,1000      4,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
