//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 2851021
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
02851021;2;1/6/1958;1;67;147,4;12;6;2;2;0;1521,6;2;0;0;0;0;0;24;5;0;0;18;0;67;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0,4;0;;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02851021;2;1/7/1958;1;7,6;24,1;28;4;1;1;0;1521,6;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,6;3,5;7;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/8/1958;1;41;202,5;3;13;1;1;0;1521,6;2;12,4;16;41;6,4;0;7,5;24,6;1;32,3;0;0;3,6;0;0;0;0;0;0;0;0;8;0;0;0;0;18,2;4;27,5;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/9/1958;1;32,5;174,1;25;11;1;1;0;1521,6;2;0;0;0;0;16;20,5;16;0;0;0;25,6;1,5;0;13;19,5;4;0;0;0;0;0;0;3,5;22;32,5;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02851021;2;1/10/1958;1;50,3;179,3;5;11;1;1;0;1521,6;2;0;23,4;11;15,6;50,3;28,4;0,5;0;0;0;5,6;7;5;0;0;0;0;0;0;0;0;0;1,2;0;31,3;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/11/1958;1;39,4;126,9;16;10;1;1;0;1521,6;2;0;0;0;5,7;0;0;0;0;0;20,2;2;0;0;8,2;0;39,4;13,7;0;5,4;11,8;0;0;0;11;0;0;0;0;0;9,5;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02851021;2;1/12/1958;1;57,8;212,3;2;12;1;1;0;1521,6;2;0;57,8;0;23,4;2,5;9,4;0;14;0;8,6;44;0;0;9,8;0;0;0;23,6;9,4;4,8;5;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/1/1959;1;44,8;197,3;4;14;1;1;0;2043,6;1;0;0;0;44,8;4;0;4,8;9,9;0;0;0;0;14;0;0;31;19,2;0;0;0;0;5,4;2,5;11;0;0;1,5;0;4,2;24,6;20,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/2/1959;1;34,6;166,1;12;12;1;1;0;2043,6;1;0;0;0;0;0;21,6;1,4;0;21;6,8;28,4;34,6;10,2;0;10;0;0;0;0;0;3;0;4,5;15;9,6;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
02851021;2;1/3/1959;1;71;133,6;13;3;1;1;0;2043,6;1;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;60,6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
