     2.2  16.9  18.9  25.6  15.1  17.6  13.3   7.0   0.6   0.5  22.3  19.5 
    25.9   4.1   0.9   0.5  10.9  10.9   7.5   6.0   3.4  10.3   2.8   0.6 
    36.2   3.6  27.6   0.7  20.1   1.9 105.7   3.4   9.6   6.4   0.0   0.0 
    19.1  15.2  95.0 170.4  62.3  91.4  49.9  68.0  20.9  40.5 102.6  62.4 
    14.1   0.0   8.3  12.5  23.2  41.1  60.6  10.1  20.4  70.8   7.1 129.8 
    50.4  64.8 182.0  62.1  49.5  23.8  52.3  26.5  40.1   0.1 104.9  15.7 
    84.5  80.2  20.2  44.5  15.4   5.9  13.7  57.7  43.3  30.1  37.6  14.6 
    78.0  74.6 156.0  34.8  73.3  40.4  38.9  23.4  17.1  13.7   1.4   4.2 
    19.6  74.2  94.2  16.0  81.2  17.1  75.6  16.5  11.9  18.8  47.5   0.3 
   137.6  36.2   7.1  43.6  36.4  41.6  50.0  54.4  86.8  35.5  27.7 108.5 
    23.4 150.8 148.7  22.0  45.6  49.3  53.1  25.5  35.2  32.9  43.2 180.8 
    62.3 133.1 191.4  51.5  60.5  38.2  58.2  28.9   4.8  13.1  26.8  81.5 
    32.8  95.7   0.0  61.6  50.0  52.0  72.5  30.8  11.4  54.6  77.0  91.4 
     0.9  76.2  36.8  27.1  90.1  18.2 103.7  25.3  30.8   6.2  32.5  78.5 
    87.0   0.0  35.3  63.7  38.4  25.3  60.6  54.3  17.8   0.6 229.5 169.9 
   156.6  12.8   0.0 165.7  91.6  82.9  76.8  54.1 106.2  97.2  38.7  66.0 
    27.7   7.4  13.4  14.4  80.8  45.8  26.5  44.5  31.1   0.0  67.4  43.3 
    32.0  12.0 123.4  49.6  74.5  31.9  39.4  27.6   7.0  53.0 246.7  68.5 
    27.2   0.0 122.3  36.6  64.2 103.0  92.6  53.1  29.7  34.5  77.5 174.4 
     8.6  19.3   1.3  52.1  34.1  49.7  79.1  34.8  18.6  12.2 228.6   7.8 
    47.6  29.6  23.9  34.0  55.1  16.2  80.2  27.3   1.2  21.0  28.8  94.6 
     1.7   0.8  36.9 172.7  75.1  79.6  27.8  22.6  25.1  14.6   6.1  91.8 
     0.0   0.0  85.6  31.8  68.4  20.1  34.8  36.1   0.8  25.0   4.5 172.6 
     3.7 159.0   7.2  19.6  78.0  43.1  37.4  33.4  28.9   5.2 148.0 164.4 
    37.6  68.0  13.4  46.9  28.8  37.2  29.7  27.3   0.0   0.1  76.9 140.5 
   103.1  70.3  13.2  33.5   1.7  34.4  40.8  36.3   7.2   7.3  76.1  76.7 
    14.0  56.0  25.7  12.3  59.8  12.4  76.1  80.3  40.1  30.2 156.8  84.7 
    93.1  56.0 225.7  68.0  41.3  47.5  67.2  31.7   5.5   4.5  81.5  16.3 
    16.4  82.0  42.7  15.0  59.8  77.1  26.5  17.0  16.5  67.4  29.1  77.4 
    28.0  29.2  29.0  66.4  57.1  32.8  89.3  84.3   8.0   2.5 171.6   0.8 
    10.3   1.5 325.4  48.8  39.9  59.1  41.6  29.6   0.0   3.2  55.5  68.7 
    93.4   4.2  15.0  30.8   3.4  55.6   9.9   4.2   0.0   4.8   0.0  14.0 
    37.3   0.0  73.4  11.8   9.3  39.7  25.8  11.9   0.0  15.2 208.3  17.5 
    31.3 113.6   9.0  23.5  25.8   9.1  11.0  24.5   5.5   9.5  48.0 136.6 
   144.8 154.0  70.4  80.0  31.3  60.0  39.3  54.7   5.3   7.3  80.8   7.7 
    51.5  14.5  34.8  28.1   7.7  15.5  40.6  19.9   0.0  25.5  96.5  43.3 
    57.9 137.5  43.7 241.3  42.1  52.5  73.0   0.0   0.0  12.6 133.9  77.2 
    25.6  61.3 113.4  48.0   0.0 100.6   2.2  16.1  11.6  12.6  69.5 100.6 
    72.9  49.5  83.3   0.0  48.5  45.7  26.2  16.4  10.6  24.7 134.2  69.6 
    78.7  75.4 235.0  10.1  38.1  39.2  16.1  14.7   0.0   0.0  17.9  98.1 
    85.7  18.0  14.5  13.5  20.4   6.3  63.3  20.2   2.3  62.8  85.5   0.0 
     0.0   9.4   6.3  22.8  33.3  43.5  42.7  19.3   5.7   0.0 111.0  11.2 
    47.9  46.5  10.8  27.3  88.0  41.5   0.0   0.0  18.0  30.5  24.3 118.1 
     7.3   0.0  94.4   6.0  24.0  41.2  25.9  26.1  19.0  67.0 168.0   0.8 
    59.6 106.6  96.4  85.6  95.3  17.3  28.2  30.5  11.3  48.5  71.8  64.6 
   166.5  40.5  71.5  59.1  14.5  51.0  62.9  44.6  41.5  25.0   0.0 111.0 
     0.0  95.2   9.0   0.0   9.1  16.0   0.0  25.2  63.4  36.4  73.0   4.0 
   150.7  27.2   0.0   7.3  23.5  16.3  34.1   0.0  40.3  18.2  33.6  90.3 
   127.5 133.8 119.8  46.2  81.5  60.4  12.3  12.3   0.0   0.0  45.2  88.5

