0.09  0.50 10.74  1.57  0.48  0.35  0.21  0.06  0.02  0.01  0.07  0.51  
    0.06  0.01  0.02  0.07  0.00  0.00  0.00  0.00  0.00  0.00  1.45  0.02  
    0.05  0.01  0.03  0.04  0.01  0.00  0.15  0.01  0.01  0.00  0.00  0.00  
    0.00  0.00  0.46  1.50  0.54  0.29  0.22  0.11  0.04  0.01  0.65  0.20  
    0.28  0.01  0.00  0.05  0.00  0.00  0.00  0.00  0.00  0.01  0.02  0.00  
    4.30  1.10  0.36  0.51  0.22  0.16  0.28  0.18  0.03  0.00  0.02  0.01  
    0.34  3.16  0.30  0.22  0.22  0.06  0.10  0.03  0.00  0.00  0.16  0.00  
    0.04  2.72  0.71  1.06  0.83  0.10  0.02  0.01  0.00  0.00  0.00  0.00  
    0.00  0.00  0.31  0.02  0.63  0.05  0.05  0.02  0.00  0.00  0.00  0.00  
    0.16  0.03  0.00  0.00  0.00  0.00  0.00  0.00  0.45  0.03  0.02  0.50  
    0.35  2.01 15.68  0.93  0.32  0.12  0.08  0.02  0.01  0.00  0.48  0.15  
    0.39  0.49 10.13  0.08  0.46  0.23  0.37  0.31  0.13  0.00  0.44  2.10  
    0.68  0.46  0.02  0.57  0.03  0.00  0.00  0.02  0.01  0.01  2.30  2.28  
    0.68  1.20  0.19  0.02  0.71  0.26  0.90  0.37  0.09  0.01  0.00  0.66  
    1.15  0.28  0.04  1.22  0.52  0.46  0.04  0.28  0.02  0.00  6.30  8.64  
    4.71  0.45  0.22  3.90  2.13  2.36  0.66  0.37  1.02  1.80  0.83  0.65  
    0.87  0.30  0.11  0.07  0.06  0.02  0.01  0.00  0.00  0.00  0.00  0.00  
    0.00  0.01  2.16  1.35  0.48  0.17  0.05  0.04  0.01  0.12  4.81 10.78  
    0.17  0.25  1.04  0.11  0.15  0.22  1.13  0.43  0.30  0.12  0.05 11.07  
    0.70  0.37  0.16  0.12  0.07  0.16  0.51  0.26  0.22  0.00  8.95  2.31  
    0.37  0.47  0.62  0.06  0.12  0.04  0.00  0.01  0.00  0.00  0.15  0.02  
    0.00  0.00  0.08  0.59  0.28  0.26  0.06  0.01  0.00  0.00  0.00  1.02  
    0.03  0.00  0.20  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  6.82  
    0.44  0.51  0.16  0.04  0.00  0.00  0.00  0.00  0.00  0.00  1.70  7.27  
    0.48  0.42  0.07  0.19  0.14  0.02  0.00  0.00  0.00  0.00  1.86  7.95  
    1.26  0.40  0.05  0.04  0.00  0.00  0.00  0.00  0.00  0.00  1.00  0.50  
    0.13  0.03  0.11  0.03  0.00  0.02  0.00  0.07  0.00  0.00  1.20  1.80  
    0.69  0.20 13.90  3.07  0.37  0.37  0.54  0.31  0.27  0.10  0.10  0.19  
    0.21  1.25  1.25  0.33  0.09  0.10  0.00  0.12  0.05  0.09  0.36  0.07  
    0.34  0.69  0.21  0.05  0.00  0.00  0.00  0.00  0.00  0.00  0.53  0.10  
    2.95  5.70 21.27  3.61  1.77  0.92  1.52  0.36  0.22  0.09  0.06  0.02  
    0.09  0.13  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  
    0.63  0.01  0.38  0.14  0.04  0.02  0.02  0.00  0.00  0.00  6.25  0.31  
    0.28  0.73  0.08  0.00  0.04  0.00  0.00  0.05  0.00  0.00  0.81  4.64  
   16.59  7.36  1.69  2.83  4.22  0.98  0.98  1.26  0.40  0.66  0.88  2.50  
    0.24  0.15  0.04  0.02  0.09  0.05  0.09  0.05  0.02  0.03  1.74  0.17  
    0.09  7.16  1.09  9.18  0.71  0.51  0.68  0.43  0.20  0.06  0.49  1.38  
    0.27  0.09  0.37  0.36  0.24  0.70  0.91  0.16  0.06  0.03  0.20  6.39  
    1.43  1.67  4.47  0.60  0.40  1.56  0.95  0.39  0.10  0.10  4.64  1.80  
    0.50  2.98 12.49  3.18  1.24  1.16  0.63  0.50  0.12  0.02  0.00  3.56  
    5.10  1.58  0.83  0.08  0.05  0.06  0.06  0.30  0.04  0.02  4.56  0.64  
    0.03  0.00  0.00  0.00  0.00  0.00  0.15  0.00  0.00  0.00  0.48  0.24  
    0.94  0.85  1.24  0.13  0.00  0.00  0.00  0.04  0.05  0.04  0.03  1.76  
    0.96  0.19  0.85  0.59  0.11  0.40  0.52  0.21  0.14  1.00  0.89  0.49  
    0.14  0.32  0.94  2.15  3.02  0.97  0.57  0.19  0.05  0.17  0.72  1.82  
    4.03  4.23  0.32  0.68  0.25  0.08  0.33  0.86  0.61  0.28  0.47  0.49  
    0.13  2.29  0.19  0.00  0.00  0.00  0.00  0.00  0.00  1.15  0.73  0.51  
    1.39  1.29  0.23  0.44  0.08  0.16  0.00  0.02  0.54  0.31  0.02  5.10  
    2.90  5.30  7.32  2.32  6.58  6.25  0.56  0.49  0.17  0.20  0.03  1.42  

