//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas (Hidro)
// Versão Web 2.0
// © 2001 Agência Nacional de Energia Elétrica (ANEEL)
//
// Dia XX - status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da estação: 636045
//   Ano: 1900 até 2000
//
//------------------------------------------------------------------------------

//Código;Ano;Mês;Dia 01 (mm);Dia 02 (mm);Dia 03 (mm);Dia 04 (mm);Dia 05 (mm);Dia 06 (mm);Dia 07 (mm);Dia 08 (mm);Dia 09 (mm);Dia 10 (mm);Dia 11 (mm);Dia 12 (mm);Dia 13 (mm);Dia 14 (mm);Dia 15 (mm);Dia 16 (mm);Dia 17 (mm);Dia 18 (mm);Dia 19 (mm);Dia 20 (mm);Dia 21 (mm);Dia 22 (mm);Dia 23 (mm);Dia 24 (mm);Dia 25 (mm);Dia 26 (mm);Dia 27 (mm);Dia 28 (mm);Dia 29 (mm);Dia 30 (mm);Dia 31 (mm);Dia 01 (mm) - status;Dia 02 (mm) - status;Dia 03 (mm) - status;Dia 04 (mm) - status;Dia 05 (mm) - status;Dia 06 (mm) - status;Dia 07 (mm) - status;Dia 08 (mm) - status;Dia 09 (mm) - status;Dia 10 (mm) - status;Dia 11 (mm) - status;Dia 12 (mm) - status;Dia 13 (mm) - status;Dia 14 (mm) - status;Dia 15 (mm) - status;Dia 16 (mm) - status;Dia 17 (mm) - status;Dia 18 (mm) - status;Dia 19 (mm) - status;Dia 20 (mm) - status;Dia 21 (mm) - status;Dia 22 (mm) - status;Dia 23 (mm) - status;Dia 24 (mm) - status;Dia 25 (mm) - status;Dia 26 (mm) - status;Dia 27 (mm) - status;Dia 28 (mm) - status;Dia 29 (mm) - status;Dia 30 (mm) - status;Dia 31 (mm) - status;
00636045;1989;5;0;0;30,1;5,9;0;5,7;0;0;0;4;8,1;0;9,8;0;0;1,7;0;0;0;2,7;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1989;6;-;-;-;-;-;-;-;-;-;-;-;-;3,2;4,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00636045;1989;7;0;0;0;0;0;6;0;0;23,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1989;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,7;0;0;0;0;0;0;0;0;0;2,4;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1989;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00636045;1989;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1989;11;0;0;0;0;0;0;8,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00636045;1989;12;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;29;15,2;60,4;13;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1990;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1990;2;0;0;0;0;0;0;0;0;9,4;0;14,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,9;4,3;0;-;-;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00636045;1990;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,3;2;0;0;6,4;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1990;4;18;12,7;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;1,5;8;1,5;0;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;1;0;
00636045;1990;5;16,9;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1990;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00636045;1990;7;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1990;8;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1990;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00636045;1990;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1990;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00636045;1990;12;0;0;0;0;0;0;0;0;0;0;9,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1991;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1991;2;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;65;0;14;5;0;0;0;0;0;0;0;0;0;-;-;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00636045;1991;3;0;0;0;0;9;0;0;0;0;6,7;0;0;4,6;0;35;29;5;0;0;0;0;0;0;0;0;24;14;5;42;61;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;3;1;1;1;
00636045;1991;4;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;4;0;0;0;0;0;5;0;0;0;0;0;0;18;-;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;0;
00636045;1991;5;5;16;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;7,3;0;0;0;10;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1991;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00636045;1991;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1991;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1991;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00636045;1991;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1991;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,6;0;0;0;0;0;0;0;0;0;0;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00636045;1991;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1992;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1,5;15;26,5;0;41,3;24;25,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1992;2;12;18,9;0;0;0;0;29,5;0;0;0;7;0;0;0;0;4,1;15,1;32;0;0;7,1;20;5,1;0;0;0;0;0;9;-;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
00636045;1992;3;0;0;14,5;0;0;0;0;0;12,5;0;2,5;0;0;9,1;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;3,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1992;4;12;0;0;8,5;0;14;0;0;0;4,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00636045;1992;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,3;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1992;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00636045;1992;7;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1992;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1992;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00636045;1992;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00636045;1992;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
